"";"date_start_balance";"date_end_balance";"booking_date";"start_balance";"end_balance";"amount";"booking_text";"tx_code"
"1";"22.02.16";"22.03.16";"22.03.16";35908,38;35898,38;-10;"GEBUEHREN";"808"
"2";"22.02.16";"22.03.16";"22.03.16";697,88;687,88;-10;"GEBUEHREN";"808"
"3";"15.03.16";"21.03.16";"21.03.16";45216,5;46201;520;"SEPA-Gutschrift";"166"
"4";"15.03.16";"21.03.16";"21.03.16";45216,5;46201;464,5;"SEPA-Gutschrift";"166"
"5";"17.03.16";"22.03.16";"22.03.16";30616,1;30606,1;-10;"GEBUEHREN";"808"
"6";"17.03.16";"21.03.16";"21.03.16";18363,55;19562,55;541;"SEPA-Gutschrift";"166"
"7";"17.03.16";"21.03.16";"21.03.16";18363,55;19562,55;279;"SEPA-Gutschrift";"166"
"8";"17.03.16";"21.03.16";"21.03.16";18363,55;19562,55;199;"SEPA-Gutschrift";"166"
"9";"17.03.16";"21.03.16";"21.03.16";18363,55;19562,55;180;"SEPA-Gutschrift";"166"
"10";"18.03.16";"21.03.16";"21.03.16";150072,92;143245,79;100;"SEPA Rueckgabe";"159"
"11";"18.03.16";"21.03.16";"21.03.16";150072,92;143245,79;-6511,68;"SEPA-Ueberweisungsdatei";"191"
"12";"18.03.16";"21.03.16";"21.03.16";150072,92;143245,79;-308,5;"SEPA-Ueberweisungsdatei";"191"
"13";"18.03.16";"21.03.16";"21.03.16";150072,92;143245,79;-106,95;"SEPA Basislastschrift";"105"
"14";"18.03.16";"22.03.16";"22.03.16";2924651,6;1924641,6;-1e+06;"SEPA-Ueberweisung";"116"
"15";"18.03.16";"22.03.16";"22.03.16";2924651,6;1924641,6;-10;"GEBUEHREN";"808"
"16";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;1644;"AUSSENH.";"202"
"17";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;1320;"SEPA-Gutschrift";"166"
"18";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;1076,03;"SEPA-Gutschrift";"166"
"19";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;1049,89;"SEPA-Gutschrift";"166"
"20";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;1047;"SEPA-Gutschrift";"166"
"21";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;867,99;"SEPA-Gutschrift";"166"
"22";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;849;"SEPA-Gutschrift";"166"
"23";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;799;"SEPA-Gutschrift";"166"
"24";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;789;"SEPA-Gutschrift";"166"
"25";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;729;"SEPA-Gutschrift";"166"
"26";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;669;"SEPA-Gutschrift";"166"
"27";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;599;"SEPA-Gutschrift";"166"
"28";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;599;"SEPA-Gutschrift";"166"
"29";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;599;"SEPA-Gutschrift";"166"
"30";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;599;"SEPA-Gutschrift";"166"
"31";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;579;"SEPA-Regierungsgutschrift";"156"
"32";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;579;"SEPA-Gutschrift";"166"
"33";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;499;"SEPA-Gutschrift";"166"
"34";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;479;"SEPA-Gutschrift";"166"
"35";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;453;"SEPA-Gutschrift";"166"
"36";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;449;"SEPA-Gutschrift";"166"
"37";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;424;"SEPA-Gutschrift";"166"
"38";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;399;"SEPA-Gutschrift";"166"
"39";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;399;"SEPA-Gutschrift";"166"
"40";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;365;"SEPA-Gutschrift";"166"
"41";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;340;"SEPA-Gutschrift";"166"
"42";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;315;"SEPA-Gutschrift";"166"
"43";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;299;"SEPA-Gutschrift";"166"
"44";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;250;"SEPA-Gutschrift";"166"
"45";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;249;"SEPA-Gutschrift";"166"
"46";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;249;"SEPA-Gutschrift";"166"
"47";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;200;"SEPA-Gutschrift";"166"
"48";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;199;"SEPA-Gutschrift";"166"
"49";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;174,9;"SEPA-Gutschrift";"166"
"50";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;174,9;"SEPA-Gutschrift";"166"
"51";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;174,9;"SEPA-Gutschrift";"166"
"52";"18.03.16";"21.03.16";"21.03.16";1294633,32;1315175,93;56;"SEPA-Gutschrift";"166"
"53";"18.03.16";"22.03.16";"22.03.16";17907,16;17897,16;-10;"GEBUEHREN";"808"
"54";"18.03.16";"21.03.16";"21.03.16";50221,6;50760,6;429;"SEPA-Gutschrift";"166"
"55";"18.03.16";"21.03.16";"21.03.16";50221,6;50760,6;110;"SEPA-Gutschrift";"166"
"56";"18.03.16";"22.03.16";"22.03.16";50761,43;49126,93;-1624,5;"SEPA-Ueberweisung";"116"
"57";"18.03.16";"22.03.16";"22.03.16";50761,43;49126,93;-10;"GEBUEHREN";"808"
"58";"18.03.16";"21.03.16";"21.03.16";32653,22;26241,16;175,08;"AUSSENH.";"202"
"59";"18.03.16";"21.03.16";"21.03.16";32653,22;26241,16;-1300,92;"AUSSENH.";"201"
"60";"18.03.16";"21.03.16";"21.03.16";32653,22;26241,16;-1203,92;"AUSSENH.";"201"
"61";"18.03.16";"21.03.16";"21.03.16";32653,22;26241,16;-629,92;"AUSSENH.";"201"
"62";"18.03.16";"21.03.16";"21.03.16";32653,22;26241,16;-532,92;"AUSSENH.";"201"
